Safenames Ltd.	Safenames Ltd. (AS60819)	114
Contabo GmbH	Contabo GmbH (AS51167)	139
GOOGLE	OVH SAS (AS16276)	37
Dravanet Co Ltd.	Dravanet Co Ltd. (AS197248)	1850
intelliweb.hu	Dravanet Co Ltd. (AS197248)	29
Aruba S.p.A.	INTERNET CZ, a.s. (AS24806)	1344
OPC Networks Kft.	Servergarden Kft. (AS47381)	4
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	74
myshoptet.com	VSHosting s.r.o. (AS43541)	54
DIGITALOCEAN-ASN	AMAZON-02 (AS16509)	34
thetravelserver.com	Akamai Connected Cloud (AS63949)	1
Cogitnet Kft.	Cogitnet Kft. (AS200864)	31
sigmanet.hu	Hostinger International Limited (AS47583)	2
acid.hu	Contabo GmbH (AS51167)	13
infotechna.hu	Infotechna Ltd. (AS15566)	383
dotroll.com	Rackforest Zrt. (AS62214)	574
hnet.hu	Rackforest Zrt. (AS62214)	78
positive.hu	Sybell Informatika Kft (AS62449)	15
co.uk	Hetzner Online GmbH (AS24940)	118
c3.hu	One Hungary Ltd. (AS21334)	3
IONOS SE	united-domains GmbH (AS202108)	1020
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	1845
glbns.com	Rackforest Zrt. (AS62214)	460
CLOUDFLARENET	WebSupport s.r.o. (AS51013)	75
itit.hu	Rackforest Zrt. (AS62214)	18
Magyar Telekom Plc.	SigmaNet Szolgaltato es Kereskedelm Ltd (AS42964)	4
wwdh.hu	Hetzner Online GmbH (AS24940)	1178
CLOUDFLARENET	FASTLY (AS54113)	48
dotroll.com	INTEGRITY Informatics Ltd. (AS28924)	39
IONOS SE	Hetzner Online GmbH (AS24940)	41
dns23.hu	Rackhost Zrt. (AS29278)	29
deninet.hu	ATW Internet Kft. (AS41075)	78
secdns.eu	ATW Internet Kft. (AS41075)	232
ATW Internet Kft.	GOOGLE (AS15169)	68
INTERNET CZ, a.s.	Contabo GmbH (AS51167)	158
lemarit.de	LEMARIT GmbH (AS204135)	5
active24.cz	VSHosting s.r.o. (AS43541)	26
ipcom GmbH	firstcolo GmbH (AS44066)	1
dns24.hu	AMAZON-02 (AS16509)	799
nlg.hu	Hetzner Online GmbH (AS24940)	3
Tarhely.Eu Szolgaltato Kft.	MVM NET Zrt. (AS47169)	23
CLOUDFLARENET	AMAZON-02 (AS16509)	628
IONOS SE	imos Gesellschaft fuer Internet-Marketing und Online-Services mbH (AS20677)	1
Rendszerinformatika Zrt.	Rendszerinformatika Zrt. (AS206892)	170
secdns.eu	Magyar Telekom Plc. (AS5483)	146
ACTIVE 24, s.r.o.	CLOUDFLARENET (AS13335)	185
Invitech ICT Services Kft.	ACE Telecom Kft (AS50261)	61
dotroll.com	AMAZON-02 (AS16509)	186
dotroll.com	Hetzner Online GmbH (AS24940)	294
unitechnal.cloud	United Technology Alliance Kft. (AS15629)	372
r5studio.pl	HITME.PL (AS50840)	1
dotroll.com	Contabo GmbH (AS51167)	149
HURRICANE	Signet B.V. (AS20857)	8
Rackforest Zrt.	University of Szeged (AS6711)	2
domainregisztraciokft.hu	Invitech ICT Services Kft. (AS12301)	209
informatik.hu	ATW Internet Kft. (AS41075)	14
dotroll.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	75
tarhely.eu	Tarhely.Eu Szolgaltato Kft. (AS43359)	296
gransy.com	O2 Czech Republic, a.s. (AS5610)	1
dns24.hu	Tarhely.Eu Szolgaltato Kft. (AS43359)	138
CETIN Hungary Zrt.	Yettel Hungary Ltd. (AS213155)	32
INTEGRITY Informatics Ltd.	Tarhely.Eu Szolgaltato Kft. (AS43359)	203
Dravanet Co Ltd.	Sure (Guernsey) Limited (AS8680)	1
liw.hu	Magyar Telekom Plc. (AS5483)	20
dns24.hu	Hetzner Online GmbH (AS24940)	205
NUCDN	Nxtservers Srl (AS64398)	1
dtank.hu	SzerverPlex.hu KFT. (AS61998)	184
versanus.hu	Invitech ICT Services Kft. (AS12301)	187
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	75
ACTIVE 24, s.r.o.	Rackforest Zrt. (AS62214)	94
ininet.hu	Rackforest Zrt. (AS62214)	27
INTERNET CZ, a.s.	ATW Internet Kft. (AS41075)	222
INTEGRITY Informatics Ltd.	Contabo GmbH (AS51167)	53
host-anycast.com	CLOUDFLARENET (AS13335)	1
INTEGRITY Informatics Ltd.	INTERNET CZ, a.s. (AS24806)	39
linode.com	Akamai Connected Cloud (AS63949)	74
co.uk	AMAZON-02 (AS16509)	134
INTERNET CZ, a.s.	CLOUDFLARENET (AS13335)	168
iworx-host.com	Tarhely.Eu Szolgaltato Kft. (AS43359)	4
dns24.hu	WHG Hosting Services Ltd (AS209341)	9
dns23.hu	23VNet Kft. (AS30836)	529
dotroll.com	DIGI Tavkozlesi es Szolgaltato Kft. (AS20845)	43
webshark.hu	Hetzner Online GmbH (AS24940)	38
melius-group.hu	Contabo GmbH (AS51167)	36
margaretastudio.hu	Rackforest Zrt. (AS62214)	22
CLOUDFLARENET	Rackhost Zrt. (AS29278)	36
netfirms.com	BIZLAND-SD (AS29873)	2
dns24.hu	Contabo GmbH (AS51167)	243
4iG Telecommunications Holding Zrt	4iG Telecommunications Holding Zrt (AS8990)	80
ZONER a.s.	ZONER a.s. (AS34222)	443
ATW Internet Kft.	Rendszerinformatika Zrt. (AS206892)	68
acwsbt.com	Dravanet Co Ltd. (AS197248)	148
Hetzner Online GmbH	ACE Telecom Kft (AS50261)	342
domeny.tv	Dataspace P.s.a. (AS50599)	184
bbke.hu	23VNet Kft. (AS30836)	1
grendsystem.hu	JZT Informatikai Kft. (AS39679)	53
markmonitor.com	AMAZON-02 (AS16509)	598
webgalaxy.hu	ATW Internet Kft. (AS41075)	289
Hosterion Srl	Hosterion Srl (AS43927)	45
telekom.hu	Mediaszolgaltatas-tamogato es Vagyonkezelo Alap (AS207255)	26
CLOUDFLARENET	Magyar Telekom Plc. (AS5483)	284
active24.cz	AMAZON-02 (AS16509)	3
eqnet.hu	Mittwald CM Service GmbH & Co. KG (AS15817)	1
telekom.hu	Servergarden Kft. (AS47381)	43
versanus.hu	Servergarden Kft. (AS47381)	251
tricon.hu	Magyar Telekom Plc. (AS5483)	4
ispro.hu	Dravanet Co Ltd. (AS197248)	18
hackerone.com	CLOUDFLARENET (AS13335)	1
AMAZON-02	SINGLEHOP-LLC (AS32475)	31
gretlerintermedia.ch	netcup GmbH (AS197540)	1
introdns.hu	Magyar Telekom Plc. (AS5483)	620
mpk.hu	4iG Telecommunications Holding Zrt (AS8990)	22
Tarhely.Eu Szolgaltato Kft.	Hostinger International Limited (AS47583)	22
deployis.eu	Invitech ICT Services Kft. (AS12301)	77
AMAZON-02	OVH SAS (AS16276)	314
webglobedns.com	Webglobe, s.r.o. (AS198171)	1
criscompinformatika.hu	Magyar Telekom Plc. (AS5483)	24
glbns.com	SigmaNet Szolgaltato es Kereskedelm Ltd (AS42964)	16
NETregator Kft.	NETregator Kft. (AS44302)	384
webspacecontrol.com	Rackforest Zrt. (AS62214)	73
Invitech ICT Services Kft.	Rackhost Zrt. (AS29278)	33
Aruba S.p.A.	Magyar Telekom Plc. (AS5483)	108
ininet.hu	Hetzner Online GmbH (AS24940)	64
NUCDN	Previder B.V. (AS20847)	1
x-web.hu	Invitech ICT Services Kft. (AS12301)	3
dns23.hu	Invitech ICT Services Kft. (AS12301)	53
dnssec-domains.com	Invitech ICT Services Kft. (AS12301)	22
r6.hu	Rackhost Zrt. (AS29278)	19
mediacenter.hu	Hetzner Online GmbH (AS24940)	87
AMAZON-02	Hetzner Online GmbH (AS24940)	56
secdns.eu	Scaleway S.a.s. (AS12876)	7
cweb.hu	WHG Hosting Services Ltd (AS209341)	126
dotroll.com	Magyar Telekom Plc. (AS5483)	416
versanus.eu	ATW Internet Kft. (AS41075)	15
4iG Telecommunications Holding Zrt	Magyar Telekom Plc. (AS5483)	13
lslgbr.hu	Rackhost Zrt. (AS29278)	7
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	69
afterlife.hu	Rackhost Zrt. (AS29278)	1
unitechnal.cloud	Invitech ICT Services Kft. (AS12301)	52
e-data.lt	Torena, II (AS47341)	1
Tarhely.Eu Szolgaltato Kft.	GOOGLE (AS15169)	33
CLOUDFLARENET	LIQUIDWEB (AS32244)	6
Scaleway S.a.s.	Servergarden Kft. (AS47381)	189
forss.net	Forss IT AB (AS43809)	1
tarhelyszakerto.hu	Invitech ICT Services Kft. (AS12301)	15
Aruba S.p.A.	GOOGLE (AS15169)	9
NUCDN	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	1
CLOUDFLARENET	Rackhost Zrt. (AS210579)	31
dns24.hu	RENDER (AS397273)	8
webspacecontrol.com	ATW Internet Kft. (AS41075)	18
NUCDN	AMAZON-02 (AS16509)	35
hostx.eu	GTS Telecom SRL (AS5606)	2
dns24.hu	Cloudflare London, LLC (AS209242)	91
AMAZON-02	GOOGLE (AS15169)	246
acetelecom.hu	ACE Telecom Kft (AS50261)	177
SECURITYSERVICES	VSHosting s.r.o. (AS43541)	5
habana.hu	Rackforest Zrt. (AS62214)	33
Hetzner Online GmbH	RendszerNET Kft. (AS60071)	1
netcup GmbH	netcup GmbH (AS197540)	86
SECURITYSERVICES	Rendszerinformatika Zrt. (AS206892)	21
AMAZON-02	Rackhost Zrt. (AS210579)	3
Hetzner Online GmbH	Magyar Telekom Plc. (AS5483)	67
decoded.hu	Rackforest Zrt. (AS62214)	8
MICROSOFT-CORP-MSN-AS-BLOCK	Rackhost Zrt. (AS210579)	23
Rackhost Zrt.	Rackhost Zrt. (AS29278)	680
pannoninteraktiv.hu	ELIN.hu Informatikai Szolgaltato es Tanacsado Kft. (AS208154)	14
Invitech ICT Services Kft.	Cloudflare London, LLC (AS209242)	1
powername.at	InterNetX GmbH (AS15456)	1
dns23.hu	HKN GmbH (AS12676)	1
INTERNET CZ, a.s.	Tarhely.Eu Szolgaltato Kft. (AS43359)	160
INTERNET CZ, a.s.	Magyar Telekom Plc. (AS5483)	188
tisztanet.hu	Magyar Telekom Plc. (AS5483)	17
WLA Interservice Ltd.	Magyar Telekom Plc. (AS5483)	8
domdom.net	Contabo GmbH (AS51167)	31
telekom.hu	Rackhost Zrt. (AS29278)	26
telekom.hu	UNIFIEDLAYER-AS-1 (AS46606)	1
IONOS SE	IONOS SE (AS8560)	97
Rackforest Zrt.	Intellihome Tavkozlesi Szolgaltato Kft (AS47116)	4
t-online.hu	WebSupport s.r.o. (AS51013)	18
dns24.hu	Rendszerinformatika Zrt. (AS206892)	60
Invitech ICT Services Kft.	Dravanet Co Ltd. (AS197248)	75
Ledl.net GmbH	Nessus GmbH (AS47692)	1
ATW Internet Kft.	Hetzner Online GmbH (AS24940)	61
telekom.hu	Dravanet Co Ltd. (AS197248)	18
Tarhely.Eu Szolgaltato Kft.	AMAZON-02 (AS16509)	252
t-online.hu	Bank Gutmann Aktiengesellschaft (AS205903)	1
Host Europe GmbH	ATW Internet Kft. (AS41075)	9
secdns.eu	Isis-Com Kft. (AS200964)	104
glbns.com	Magyar Telekom Plc. (AS5483)	185
Porion-Digital Kft.	Porion-Digital Kft. (AS47710)	1
CLOUDFLARENET	One Hungary Ltd. (AS21334)	31
nsa.hu	ATW Internet Kft. (AS41075)	158
dns24.hu	GOOGLE-CLOUD-PLATFORM (AS396982)	77
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	320
multicat.hu	Magyar Telekom Plc. (AS5483)	30
unitechnal.cloud	HostingBazis Beteti Tarsasag (AS215904)	1
INTERNET CZ, a.s.	Aruba S.p.A. (AS31034)	65
webinform.hu	Invitech ICT Services Kft. (AS12301)	6
ATW Internet Kft.	DIGITALOCEAN-ASN (AS14061)	25
GANDI SAS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
atdt.hu	Hetzner Online GmbH (AS24940)	11
trinetymedia.hu	Websas.hu Kft. (AS198281)	135
serveriai.lt	UAB Interneto vizija (AS212531)	41
nlg.hu	Host Europe GmbH (AS8972)	1
CLOUDFLARENET	SWAN, a.s. (AS5578)	12
ATW Internet Kft.	CLOUDFLARENET (AS13335)	27
ACE Telecom Kft	ACE Telecom Kft (AS50261)	26
one.com	CLOUDFLARENET (AS13335)	2
criscompinformatika.hu	Giganet Internet Szolgaltato Kft (AS42864)	20
Invitech ICT Services Kft.	Rackforest Zrt. (AS62214)	140
abstrakt.hu	ATW Internet Kft. (AS41075)	2
domdom.net	Hetzner Online GmbH (AS24940)	49
teconis.com	Magyar Telekom Plc. (AS5483)	78
mediacenter.hu	ACE Telecom Kft (AS50261)	12
INTEGRITY Informatics Ltd.	Magyar Telekom Plc. (AS5483)	372
inter.hu	Contabo GmbH (AS51167)	9
iworx-host.net	OVH SAS (AS16276)	1
dotroll.com	Rackhost Zrt. (AS29278)	85
Rackforest Zrt.	Giganet Internet Szolgaltato Kft (AS42864)	13
Tarhely.Eu Szolgaltato Kft.	ATW Internet Kft. (AS41075)	117
inter.hu	Hetzner Online GmbH (AS24940)	283
Tarr Kft.	ELIN.hu Informatikai Szolgaltato es Tanacsado Kft. (AS208154)	1
dns24.hu	TURNKEY-INTERNET (AS40244)	139
CLOUDFLARENET	Tarhely.Eu Szolgaltato Kft. (AS43359)	101
x-web.hu	Rackforest Zrt. (AS62214)	26
bix.hu	Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyos Egyesulet (AS210788)	2
INTERNET CZ, a.s.	UpCloud Ltd (AS202053)	2
Tarhely.Eu Szolgaltato Kft.	Servergarden Kft. (AS47381)	81
WebSupport s.r.o.	Rackforest Zrt. (AS62214)	191
dtank.hu	AMAZON-02 (AS16509)	6
INTEGRITY Informatics Ltd.	Rackhost Zrt. (AS29278)	48
SzerverPlex.hu KFT.	SzerverPlex.hu KFT. (AS61998)	354
ACTIVE 24, s.r.o.	AMAZON-AES (AS14618)	8
unitechnal.cloud	Tarhely.Eu Szolgaltato Kft. (AS43359)	6
webinform.hu	T-Mobile Czech Republic a.s. (AS5588)	152
dotroll.com	ATW Internet Kft. (AS41075)	207
INTERNET CZ, a.s.	Rackforest Zrt. (AS62214)	465
adminom.hu	VPS4You Kft. (AS47325)	52
INTERNET CZ, a.s.	Hetzner Online GmbH (AS24940)	195
c3.hu	Magyar Telekom Plc. (AS5483)	247
contabo.net	Contabo GmbH (AS51167)	137
INTERNET CZ, a.s.	AMAZON-02 (AS16509)	275
versanus.hu	Rackforest Zrt. (AS62214)	357
infornax.hu	Infornax Information Technology Zrt. (AS28728)	83
bosch.de	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	33
dotroll.com	Dravanet Co Ltd. (AS197248)	54
wlap.hu	Infotechna Ltd. (AS15566)	61
ATW Internet Kft.	FASTLY (AS54113)	2
webdesign.hu	Rackhost Zrt. (AS29278)	12
ininet.hu	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
domain-hosting.name	InterNetX GmbH (AS15456)	6
AMAZON-02	Contabo GmbH (AS51167)	4
Host Europe GmbH	Digi Romania S.A. (AS8708)	2
