winwin.hk: 0 mail.winwin.hk.
emeis.hk: 10 custmx.cscdns.net.
applestore.hk: 10 mail.zzz-master.com.
mirror.hk: 20 arrow-relay.mxrouting.net.
mirror.hk: 10 arrow.mxrouting.net.
self.hk: 10 custmx.cscdns.net.
snap.hk: 5 alt1.aspmx.l.google.com.
snap.hk: 10 alt3.aspmx.l.google.com.
snap.hk: 5 alt2.aspmx.l.google.com.
snap.hk: 10 alt4.aspmx.l.google.com.
snap.hk: 1 aspmx.l.google.com.
matt.hk: 10 mail.protonmail.ch.
matt.hk: 20 mailsec.protonmail.ch.
stargate.hk: 0 aspmx.l.google.com.
stargate.hk: 5 alt1.aspmx.l.google.com.
stargate.hk: 5 alt2.aspmx.l.google.com.
stargate.hk: 10 alt3.aspmx.l.google.com.
stargate.hk: 10 alt4.aspmx.l.google.com.
xyz.hk: 10 mail.8014.net.
simple.hk: 0 .
eric.hk: 1000 inboundmail-sg1.hknis.com.
eric.hk: 10 inboundmail.geo.hknis.com.
eric.hk: 1000 inboundmail-eu1.hknis.com.
eric.hk: 1000 inboundmail-us1.hknis.com.
continuum.hk: 10 aspmx.l.google.com.
continuum.hk: 50 alt4.aspmx.l.google.com.
continuum.hk: 40 alt3.aspmx.l.google.com.
continuum.hk: 20 alt1.aspmx.l.google.com.
continuum.hk: 30 alt2.aspmx.l.google.com.
abundance.hk: 0 mail.abundance.hk.
crazydomains.hk: 10 crazydomains-hk.mail.eo.outlook.com.
cue.hk: 87 route1.mx.cloudflare.net.
cue.hk: 52 route2.mx.cloudflare.net.
cue.hk: 74 route3.mx.cloudflare.net.
digi.hk: 1 aspmx.l.google.com.
digi.hk: 5 alt2.aspmx.l.google.com.
digi.hk: 10 alt3.aspmx.l.google.com.
digi.hk: 5 alt1.aspmx.l.google.com.
digi.hk: 10 alt4.aspmx.l.google.com.
lab.hk: 39 route1.mx.cloudflare.net.
lab.hk: 79 route2.mx.cloudflare.net.
lab.hk: 68 route3.mx.cloudflare.net.
ciao.hk: 10 mx1.tmdhosting.com.
ciao.hk: 20 mx2.tmdhosting.com.
gitlab.hk: 10 alt3.aspmx.l.google.com.
gitlab.hk: 5 alt1.aspmx.l.google.com.
gitlab.hk: 1 aspmx.l.google.com.
gitlab.hk: 5 alt2.aspmx.l.google.com.
gitlab.hk: 10 alt4.aspmx.l.google.com.
learning.hk: 0 _dc-mx.fc4a7605f4be.learning.hk.
console.hk: 5 alt2.aspmx.l.google.com.
console.hk: 1 aspmx.l.google.com.
console.hk: 10 alt3.aspmx.l.google.com.
console.hk: 10 alt4.aspmx.l.google.com.
console.hk: 15 gn5xwlqa6vbuws4d7vpzn4lruudwjtib4wcmm2tpi6phnhkc3rna.mx-verification.google.comgn5xwlqa6vbuws4d7vpzn4lruudwjtib4wcmm2tpi6phnhkc3rna.mx-verification.google.com.
console.hk: 5 alt1.aspmx.l.google.com.
candy.hk: 0 peach.siulung.com.
top.hk: 10 aspmx2.googlemail.com.
top.hk: 5 alt1.aspmx.l.google.com.
top.hk: 10 aspmx3.googlemail.com.
top.hk: 5 alt2.aspmx.l.google.com.
top.hk: 1 aspmx.l.google.com.
need.hk: 10 mx01.mail.icloud.com.
need.hk: 10 mx02.mail.icloud.com.
darkhorse.hk: 20 mx2.larksuite.com.
darkhorse.hk: 30 mx3.larksuite.com.
darkhorse.hk: 10 mx1.larksuite.com.
get.hk: 69 route3.mx.cloudflare.net.
get.hk: 54 route2.mx.cloudflare.net.
get.hk: 49 route1.mx.cloudflare.net.
hi.hk: 0 localhost.
dream.hk: 5 alt2.aspmx.l.google.com.
dream.hk: 10 aspmx2.googlemail.com.
dream.hk: 5 alt1.aspmx.l.google.com.
dream.hk: 1 aspmx.l.google.com.
dream.hk: 10 aspmx3.googlemail.com.
dave.hk: 5 alt2.aspmx.l.google.com.
dave.hk: 1 aspmx.l.google.com.
dave.hk: 10 aspmx3.googlemail.com.
dave.hk: 5 alt1.aspmx.l.google.com.
dave.hk: 10 aspmx2.googlemail.com.
neuroscience.hk: 40 alt3.aspmx.l.google.com.
neuroscience.hk: 50 alt4.aspmx.l.google.com.
neuroscience.hk: 10 aspmx.l.google.com.
neuroscience.hk: 30 alt2.aspmx.l.google.com.
neuroscience.hk: 20 alt1.aspmx.l.google.com.
deep.hk: 24 route3.mx.cloudflare.net.
deep.hk: 56 route1.mx.cloudflare.net.
deep.hk: 46 route2.mx.cloudflare.net.
abi.hk: 20 mx0102.titan.email.
abi.hk: 10 mx0101.titan.email.
twist.hk: 0 twist-hk.mail.protection.outlook.com.
tumblr.hk: 0 .
meta.hk: 5 alt2.aspmx.l.google.com.
meta.hk: 10 alt4.aspmx.l.google.com.
meta.hk: 5 alt1.aspmx.l.google.com.
meta.hk: 1 aspmx.l.google.com.
meta.hk: 10 alt3.aspmx.l.google.com.
square.hk: 0 square-hk.mail.protection.outlook.com.
guru.hk: 0 aspmx.l.google.com.
guru.hk: 20 aspmx4.googlemail.com.
guru.hk: 20 aspmx3.googlemail.com.
guru.hk: 20 aspmx2.googlemail.com.
guru.hk: 10 alt1.aspmx.l.google.com.
guru.hk: 20 aspmx5.googlemail.com.
guru.hk: 10 alt2.aspmx.l.google.com.
sold.hk: 10 mail.protonmail.ch.
sold.hk: 20 mailsec.protonmail.ch.
iam.hk: 20 mailsec.protonmail.ch.
iam.hk: 10 mail.protonmail.ch.
davinci.hk: 10 mx1.netim.net.
davinci.hk: 10 mx2.netim.net.
ksa.hk: 20 mx2.zoho.com.
ksa.hk: 50 mx3.zoho.com.
ksa.hk: 10 mx.zoho.com.
file.hk: 10 alt3.aspmx.l.google.com.
file.hk: 5 alt2.aspmx.l.google.com.
file.hk: 10 alt4.aspmx.l.google.com.
file.hk: 1 aspmx.l.google.com.
file.hk: 5 alt1.aspmx.l.google.com.
solaris.hk: 5 btmx6.sun.com.
solaris.hk: 5 btmx4.sun.com.
solaris.hk: 20 mx4.sun.com.
solaris.hk: 20 mx3.sun.com.
login.hk: 10 mail.login.hk.
ocean.hk: 10 aspmx.l.google.com.
ocean.hk: 30 aspmx3.googlemail.com.
ocean.hk: 20 alt1.aspmx.l.google.com.
ocean.hk: 30 aspmx5.googlemail.com.
ocean.hk: 20 alt2.aspmx.l.google.com.
ocean.hk: 30 aspmx4.googlemail.com.
ocean.hk: 30 aspmx2.googlemail.com.
nia.hk: 0 nia-hk.mail.protection.outlook.com.
sunshine.hk: 24 route2.mx.cloudflare.net.
sunshine.hk: 42 route1.mx.cloudflare.net.
sunshine.hk: 7 route3.mx.cloudflare.net.
astro.hk: 5 mail.astro.hk.
peak.hk: 0 peak-hk.mail.protection.outlook.com.
tru.hk: 10 relay1.netnames.net.
tru.hk: 100 relay2.netnames.net.
wifi.hk: 100 aspmx3.googlemail.com.
wifi.hk: 10 alt1.aspmx.l.google.com.
wifi.hk: 1 aspmx.l.google.com.
wifi.hk: 100 aspmx2.googlemail.com.
wifi.hk: 100 aspmx4.googlemail.com.
wifi.hk: 100 aspmx5.googlemail.com.
wifi.hk: 10 alt2.aspmx.l.google.com.
maas.hk: 50 mx3.zoho.com.
maas.hk: 20 mx2.zoho.com.
maas.hk: 10 mx.zoho.com.
rene.hk: 5 mx.emailarray.com.
rene.hk: 10 mx2.emailarray.com.
synergy.hk: 0 synergy-hk.mail.protection.outlook.com.
qubit.hk: 1 qubit-hk.mail.protection.outlook.com.
inno.hk: 10 mail.inno.hk.
david.hk: 10 mail.david.hk.
merck.hk: 10 wingate.merck.de.
merck.hk: 20 igngate.merck.de.
merck.hk: 10 inetgate.merck.de.
foss.hk: 10 foss-dk.mail.protection.outlook.com.
breeze.hk: 10 alt3.aspmx.l.google.com.
breeze.hk: 5 alt1.aspmx.l.google.com.
breeze.hk: 10 alt4.aspmx.l.google.com.
breeze.hk: 5 alt2.aspmx.l.google.com.
breeze.hk: 1 aspmx.l.google.com.
levels.hk: 1 alltheemails.com.
chaos.hk: 5 mxbiz1.qq.com.
chaos.hk: 10 mxbiz2.qq.com.
server.hk: 10 mailu.plato.email.
cyza.hk: 10 mx2.netim.net.
cyza.hk: 10 mx1.netim.net.
escort.hk: 1 alltheemails.com.
rick.hk: 10 aspmx3.googlemail.com.
rick.hk: 5 alt2.aspmx.l.google.com.
rick.hk: 5 alt1.aspmx.l.google.com.
rick.hk: 1 aspmx.l.google.com.
rick.hk: 10 aspmx2.googlemail.com.
seo.hk: 10 mxbiz2.qq.com.
seo.hk: 5 mxbiz1.qq.com.
online.hk: 20 mx2.zoho.com.
online.hk: 50 mx3.zoho.com.
online.hk: 10 mx.zoho.com.
library.hk: 10 mxw.mxhichina.com.
library.hk: 5 mxn.mxhichina.com.
blog.hk: 5 alt2.aspmx.l.google.com.
blog.hk: 5 alt1.aspmx.l.google.com.
blog.hk: 10 alt4.aspmx.l.google.com.
blog.hk: 10 alt3.aspmx.l.google.com.
blog.hk: 1 aspmx.l.google.com.
linkedin.hk: 0 .
nft.hk: 10 mx.ym.163.com.
micro.hk: 0 micro-hk.mail.protection.outlook.com.
serenity.hk: 1 smtp.google.com.
gtm.hk: 30 alt3.aspmx.l.google.com.
gtm.hk: 20 alt1.aspmx.l.google.com.
gtm.hk: 10 aspmx.l.google.com.
gtm.hk: 30 alt4.aspmx.l.google.com.
gtm.hk: 20 alt2.aspmx.l.google.com.
catalyst.hk: 5 alt2.aspmx.l.google.com.
catalyst.hk: 10 aspmx2.googlemail.com.
catalyst.hk: 5 alt1.aspmx.l.google.com.
catalyst.hk: 1 aspmx.l.google.com.
catalyst.hk: 10 aspmx3.googlemail.com.
omg.hk: 20 alt2.aspmx.l.google.com.
omg.hk: 30 aspmx3.googlemail.com.
omg.hk: 20 alt1.aspmx.l.google.com.
omg.hk: 30 aspmx4.googlemail.com.
omg.hk: 30 aspmx2.googlemail.com.
omg.hk: 30 aspmx5.googlemail.com.
omg.hk: 10 aspmx.l.google.com.
bass.hk: 0 .
stella.hk: 10 mx3.feishu.cn.
stella.hk: 5 mx2.feishu.cn.
stella.hk: 1 mx1.feishu.cn.
hype.hk: 10 alt4.aspmx.l.google.com.
hype.hk: 5 alt2.aspmx.l.google.com.
hype.hk: 5 alt1.aspmx.l.google.com.
hype.hk: 10 alt3.aspmx.l.google.com.
hype.hk: 1 aspmx.l.google.com.
pal.hk: 15 route2.mx.cloudflare.net.
pal.hk: 38 route1.mx.cloudflare.net.
pal.hk: 100 route3.mx.cloudflare.net.
stardust.hk: 85 route2.mx.cloudflare.net.
stardust.hk: 46 route3.mx.cloudflare.net.
stardust.hk: 50 route1.mx.cloudflare.net.
opensource.hk: 30 aspmx2.googlemail.com.
opensource.hk: 30 aspmx5.googlemail.com.
opensource.hk: 20 alt2.aspmx.l.google.com.
opensource.hk: 20 alt1.aspmx.l.google.com.
opensource.hk: 10 aspmx.l.google.com.
opensource.hk: 30 aspmx4.googlemail.com.
opensource.hk: 30 aspmx3.googlemail.com.
dojo.hk: 15 route3.mx.cloudflare.net.
dojo.hk: 52 route1.mx.cloudflare.net.
dojo.hk: 63 route2.mx.cloudflare.net.
abcd.hk: 10 aspmx3.googlemail.com.
abcd.hk: 1 aspmx.l.google.com.
abcd.hk: 10 aspmx2.googlemail.com.
abcd.hk: 5 alt2.aspmx.l.google.com.
abcd.hk: 5 alt1.aspmx.l.google.com.
together.hk: 10 mx1-hosting.jellyfish.systems.
together.hk: 30 mx3-hosting.jellyfish.systems.
together.hk: 20 mx2-hosting.jellyfish.systems.
hotels.hk: 10 custmx.cscdns.net.
apartment.hk: 10 mx1.netim.net.
apartment.hk: 10 mx2.netim.net.
newage.hk: 10 mail.newage.hk.
newage.hk: 20 mail.newage.hk.
tube.hk: 5 alt2.aspmx.l.google.com.
tube.hk: 10 alt3.aspmx.l.google.com.
tube.hk: 1 aspmx.l.google.com.
tube.hk: 10 alt4.aspmx.l.google.com.
tube.hk: 5 alt1.aspmx.l.google.com.
msg.hk: 5 mx.noip.com.
googlemaps.hk: 0 .
unix.hk: 10 wall.redsquare.hk.
bonjour.hk: 1 aspmx.l.google.com.
bonjour.hk: 10 aspmx5.googlemail.com.
bonjour.hk: 10 aspmx3.googlemail.com.
bonjour.hk: 10 aspmx2.googlemail.com.
bonjour.hk: 5 alt1.aspmx.l.google.com.
bonjour.hk: 5 alt2.aspmx.l.google.com.
bonjour.hk: 10 aspmx4.googlemail.com.
ais.hk: 10 mx.zoho.com.
ais.hk: 10 mx.zoho.com.
ais.hk: 20 MX2.zoho.com.
ais.hk: 20 MX2.zoho.com.
unify.hk: 10 relay1.netnames.net.
unify.hk: 20 relay2.netnames.net.
jit.hk: 10 aspmx3.googlemail.com.
jit.hk: 1 aspmx.l.google.com.
jit.hk: 10 aspmx2.googlemail.com.
jit.hk: 30 udgw.udomain.com.hk.
jit.hk: 0 jit-hk.mail.protection.outlook.com.
jit.hk: 10 mail.jubilee.com.hk.
jit.hk: 5 alt1.aspmx.l.google.com.
jit.hk: 5 alt2.aspmx.l.google.com.
calvin.hk: 20 aspmx3.googlemail.com.
calvin.hk: 10 alt1.aspmx.l.google.com.
calvin.hk: 10 alt2.aspmx.l.google.com.
calvin.hk: 20 aspmx2.googlemail.com.
calvin.hk: 0 aspmx.l.google.com.
xai.hk: 1 smtp.google.com.
edwards.hk: 5 alt1.aspmx.l.google.com.
edwards.hk: 10 alt4.aspmx.l.google.com.
edwards.hk: 5 alt2.aspmx.l.google.com.
edwards.hk: 10 alt3.aspmx.l.google.com.
edwards.hk: 1 aspmx.l.google.com.
hosting.hk: 10 mx.hosting.com.hk.
hosting.hk: 1 mail.diyhomepage.com.
ecommerce.hk: 30 mx3.zoho.com.
ecommerce.hk: 10 mx.zoho.com.
ecommerce.hk: 20 mx2.zoho.com.
puressentiel.hk: 50 fb.mail.gandi.net.
puressentiel.hk: 10 spool.mail.gandi.net.
zap.hk: 1 mx1.larksuite.com.
zap.hk: 5 mx2.larksuite.com.
zap.hk: 10 mx3.larksuite.com.
benson.hk: 5 alt1.aspmx.l.google.com.
benson.hk: 10 alt3.aspmx.l.google.com.
benson.hk: 10 alt4.aspmx.l.google.com.
benson.hk: 5 alt2.aspmx.l.google.com.
benson.hk: 1 aspmx.l.google.com.
device.hk: 10 mail.node.hk.
thinktank.hk: 30 alt2.aspmx.l.google.com.
thinktank.hk: 40 alt3.aspmx.l.google.com.
thinktank.hk: 50 alt4.aspmx.l.google.com.
thinktank.hk: 20 alt1.aspmx.l.google.com.
thinktank.hk: 10 aspmx.l.google.com.
hrt.hk: 10 MX.ZOHO.COM.
hrt.hk: 30 MX3.ZOHO.COM.
hrt.hk: 20 MX2.ZOHO.COM.
algorithm.hk: 10 alt3.aspmx.l.google.com.
algorithm.hk: 10 alt4.aspmx.l.google.com.
algorithm.hk: 5 alt2.aspmx.l.google.com.
algorithm.hk: 1 aspmx.l.google.com.
algorithm.hk: 5 alt1.aspmx.l.google.com.
curtis.hk: 0 curtis-hk.mail.protection.outlook.com.
art.hk: 0 mail.art.hk.
bro.hk: 5 mxn.mxhichina.com.
bro.hk: 10 mxw.mxhichina.com.
mga.hk: 0 _dc-mx.b8f5b9f2a802.mga.hk.
hotelscombined.hk: 1 aspmx.l.google.com.
hotelscombined.hk: 5 alt2.aspmx.l.google.com.
hotelscombined.hk: 10 alt3.aspmx.l.google.com.
hotelscombined.hk: 10 alt4.aspmx.l.google.com.
hotelscombined.hk: 5 alt1.aspmx.l.google.com.
bahai.hk: 5 alt1.aspmx.l.google.com.
bahai.hk: 1 aspmx.l.google.com.
bahai.hk: 10 alt4.aspmx.l.google.com.
bahai.hk: 10 alt3.aspmx.l.google.com.
bahai.hk: 5 alt2.aspmx.l.google.com.
loop.hk: 0 loop-hk.mail.protection.outlook.com.
marcus.hk: 0 mail.marcus.hk.
argo.hk: 30 alt2.aspmx.l.google.com.
argo.hk: 40 alt3.aspmx.l.google.com.
argo.hk: 20 alt1.aspmx.l.google.com.
argo.hk: 10 aspmx.l.google.com.
argo.hk: 50 alt4.aspmx.l.google.com.
google.hk: 0 smtp.google.com.
jasper.hk: 10 mx02.mail.icloud.com.
jasper.hk: 10 mx01.mail.icloud.com.
assistant.hk: 10 mail.assistant.hk.
dip.hk: 5 mail.dip.hk.
dip.hk: 5 dip.hk.
catch.hk: 1 aspmx.l.google.com.
catch.hk: 5 alt1.aspmx.l.google.com.
catch.hk: 10 alt4.aspmx.l.google.com.
catch.hk: 5 alt2.aspmx.l.google.com.
catch.hk: 10 alt3.aspmx.l.google.com.
positive.hk: 10 mx2.hostinger.com.
positive.hk: 5 mx1.hostinger.com.
wedding.hk: 5 alt2.aspmx.l.google.com.
wedding.hk: 10 alt4.aspmx.l.google.com.
wedding.hk: 5 alt1.aspmx.l.google.com.
wedding.hk: 10 alt3.aspmx.l.google.com.
wedding.hk: 1 aspmx.l.google.com.
taylor.hk: 25 alt4.aspmx.l.google.com.
taylor.hk: 5 aspmx.l.google.com.
taylor.hk: 10 alt1.aspmx.l.google.com.
taylor.hk: 20 alt3.aspmx.l.google.com.
taylor.hk: 15 alt2.aspmx.l.google.com.
tbs.hk: 10 mxbiz2.qq.com.
tbs.hk: 5 mxbiz1.qq.com.
urban.hk: 0 urban-hk.mail.protection.outlook.com.
berry.hk: 1 SMTP.GOOGLE.COM.
thehub.hk: 10 mail.thehub.hk.
raptor.hk: 0 turquoise.uhost.hk.
tracks.hk: 10 aspmx2.googlemail.com.
tracks.hk: 1 aspmx.l.google.com.
tracks.hk: 5 alt1.aspmx.l.google.com.
tracks.hk: 5 alt2.aspmx.l.google.com.
tracks.hk: 10 aspmx3.googlemail.com.
porsche.hk: 20 mail.fw.porsche.de.
porsche.hk: 10 mail02.fw.porsche.de.
homeless.hk: 10 mx.sky-walker.cc.
homeless.hk: 0 mx2.sky-walker.cc.
bless.hk: 1 aspmx.l.google.com.
bless.hk: 10 aspmx2.googlemail.com.
bless.hk: 5 alt1.aspmx.l.google.com.
bless.hk: 5 alt2.aspmx.l.google.com.
bless.hk: 10 aspmx3.googlemail.com.
kris.hk: 10 548e4d8f0cd8324f8b68a2173329d7.pamx1.hotmail.com.
kris.hk: 30 548e4d8f0cd8324f8b68a2173329d7.msv1.invalid.
dove.hk: 100 mail.unilever.com.
dove.hk: 200 maildr.unilever.com.
wtf.hk: 25 route2.mx.cloudflare.net.
wtf.hk: 39 route1.mx.cloudflare.net.
wtf.hk: 44 route3.mx.cloudflare.net.
dsm.hk: 0 .
simplicity.hk: 10 alt4.aspmx.l.google.com.
simplicity.hk: 5 alt2.aspmx.l.google.com.
simplicity.hk: 10 alt3.aspmx.l.google.com.
simplicity.hk: 1 aspmx.l.google.com.
simplicity.hk: 5 alt1.aspmx.l.google.com.
truist.hk: 10 custmx.cscdns.net.
yomi.hk: 10 mail.yomi.hk.
silly.hk: 0 mx1.ball.com.hk.
silly.hk: 0 mx2.ball.com.hk.
silly.hk: 10 hk.mx.ball.com.hk.
silly.hk: 20 cn.mx.ball.com.hk.
wire.hk: 10 mx01.mail.icloud.com.
wire.hk: 10 mx02.mail.icloud.com.
uxdesign.hk: 5 _dc-mx.67467a2504d2.uxdesign.hk.
lens.hk: 0 mail.lens.hk.
mark.hk: 5 mxbiz1.qq.com.
mark.hk: 10 mxbiz2.qq.com.
shawn.hk: 20 in2-smtp.messagingengine.com.
shawn.hk: 10 in1-smtp.messagingengine.com.
yo.hk: 5 alt2.aspmx.l.google.com.
yo.hk: 10 alt3.aspmx.l.google.com.
yo.hk: 10 alt4.aspmx.l.google.com.
yo.hk: 5 alt1.aspmx.l.google.com.
yo.hk: 1 aspmx.l.google.com.
tri.hk: 25 route3.mx.cloudflare.net.
tri.hk: 93 route2.mx.cloudflare.net.
tri.hk: 80 route1.mx.cloudflare.net.
skyway.hk: 10 mail.skyway.hk.
nicholas.hk: 10 mail1.wpex.hk.
have.hk: 10 alt2.aspmx.l.google.com.
have.hk: 5 alt1.aspmx.l.google.com.
have.hk: 0 aspmx.l.google.com.
emotion.hk: 110 mx3c76.carrierzone.com.
emotion.hk: 120 mx4c76.carrierzone.com.
emotion.hk: 100 mx2c76.carrierzone.com.
emotion.hk: 10 mx1c76.carrierzone.com.
wilmax.hk: 0 wilmax-hk.mail.protection.outlook.com.
brooks.hk: 10 mx.brooks.hk.
bees.hk: 10 mail.bees.hk.
sammy.hk: 30 aspmx2.googlemail.com.
sammy.hk: 10 aspmx.l.google.com.
sammy.hk: 20 alt2.aspmx.l.google.com.
sammy.hk: 20 alt1.aspmx.l.google.com.
sammy.hk: 30 aspmx3.googlemail.com.
tele.hk: 4 route2.mx.cloudflare.net.
tele.hk: 62 route3.mx.cloudflare.net.
tele.hk: 67 route1.mx.cloudflare.net.
sunwin.hk: 10 fosse.virtualhosting.hk.
greenstone.hk: 50 fb.mail.gandi.net.
greenstone.hk: 10 spool.mail.gandi.net.
allo.hk: 30 aspmx4.googlemail.com.
allo.hk: 30 aspmx3.googlemail.com.
allo.hk: 30 aspmx2.googlemail.com.
allo.hk: 20 alt1.aspmx.l.google.com.
allo.hk: 10 aspmx.l.google.com.
allo.hk: 20 alt2.aspmx.l.google.com.
icc.hk: 15 iccmail.hkicc.org.hk.
icc.hk: 20 iccmaila.hkicc.org.hk.
blaze.hk: 10 mailstore1.secureserver.net.
blaze.hk: 0 smtp.secureserver.net.
gabriel.hk: 1 aspmx.l.google.com.
gabriel.hk: 5 alt2.aspmx.l.google.com.
gabriel.hk: 5 alt1.aspmx.l.google.com.
gabriel.hk: 10 alt3.aspmx.l.google.com.
gabriel.hk: 10 alt4.aspmx.l.google.com.
formula.hk: 0 formula-hk.mail.protection.outlook.com.
human.hk: 0 human-hk.mail.protection.outlook.com.
nice.hk: 0 .
cca.hk: 10 mx03.communilink.net.
cca.hk: 10 mx02.communilink.net.
cca.hk: 10 mx04.communilink.net.
cca.hk: 10 mx01.communilink.net.
cloudlink.hk: 0 mail.asline.hk.
esg.hk: 10 alt4.aspmx.l.google.com.
esg.hk: 5 alt1.aspmx.l.google.com.
esg.hk: 1 aspmx.l.google.com.
esg.hk: 10 alt3.aspmx.l.google.com.
esg.hk: 5 alt2.aspmx.l.google.com.
match.hk: 3 alt1.aspmx.l.google.com.
match.hk: 5 aspmx2.googlemail.com.
match.hk: 5 aspmx4.googlemail.com.
match.hk: 1 aspmx.l.google.com.
match.hk: 5 aspmx5.googlemail.com.
match.hk: 5 aspmx3.googlemail.com.
polkadot.hk: 10 mx1.abchk.net.
polkadot.hk: 130 mx13.abchk.net.
neuro.hk: 0 neuro.hk.
frankie.hk: 10 alt1.aspmx.l.google.com.
frankie.hk: 15 aspmx2.googlemail.com.
frankie.hk: 5 aspmx.l.google.com.
frankie.hk: 10 alt2.aspmx.l.google.com.
frankie.hk: 15 aspmx3.googlemail.com.
telegram.hk: 5 mx2.smtp.goog.
telegram.hk: 10 mx4.smtp.goog.
telegram.hk: 5 mx3.smtp.goog.
telegram.hk: 1 mx1.smtp.goog.
webthree.hk: 10 mx3.larksuite.com.
webthree.hk: 1 mx1.larksuite.com.
webthree.hk: 5 mx2.larksuite.com.
cosmetics.hk: 0 _dc-mx.b1bb857b12ca.cosmetics.hk.
reality.hk: 10 mx02.mail.icloud.com.
reality.hk: 10 mx01.mail.icloud.com.
flare.hk: 1 flare-hk.mail.eo.outlook.com.
loyal.hk: 0 loyal-hk.mail.protection.outlook.com.
