amazon.vn: 10 amazon-smtp.amazon.com.
mojo.vn: 5 alt2.aspmx.l.google.com.
mojo.vn: 1 aspmx.l.google.com.
ns3.vn: 5 alt1.aspmx.l.google.com.
ns3.vn: 10 alt4.aspmx.l.google.com.
ns3.vn: 5 alt2.aspmx.l.google.com.
ns3.vn: 1 aspmx.l.google.com.
ns3.vn: 10 alt3.aspmx.l.google.com.
weed.vn: 77 route3.mx.cloudflare.net.
weed.vn: 43 route1.mx.cloudflare.net.
weed.vn: 4 route2.mx.cloudflare.net.
clear.vn: 10 mail.sieuthithe.vn.
webify.vn: 0 webify-vn.mail.protection.outlook.com.
alto.vn: 20 alt1.aspmx.l.google.com.
alto.vn: 50 alt4.aspmx.l.google.com.
alto.vn: 30 alt2.aspmx.l.google.com.
alto.vn: 40 alt3.aspmx.l.google.com.
alto.vn: 10 aspmx.l.google.com.
vans.vn: 10 mr.dotvndns.vn.
doge.vn: 10 _dc-mx.609befac424e.doge.vn.
meta.vn: 0 mx.meta.vn.
mas.vn: 50 mx3.zoho.com.
mas.vn: 10 mx.zoho.com.
mas.vn: 20 mx2.zoho.com.
edit.vn: 10 alt4.aspmx.l.google.com.
edit.vn: 5 alt2.aspmx.l.google.com.
edit.vn: 10 alt3.aspmx.l.google.com.
edit.vn: 1 aspmx.l.google.com.
edit.vn: 5 alt1.aspmx.l.google.com.
lyra.vn: 10 aspmx4.googlemail.com.
lyra.vn: 5 alt2.aspmx.l.google.com.
lyra.vn: 1 aspmx.l.google.com.
lyra.vn: 10 aspmx3.googlemail.com.
lyra.vn: 5 alt1.aspmx.l.google.com.
lyra.vn: 10 aspmx2.googlemail.com.
lyra.vn: 10 aspmx5.googlemail.com.
vip.vn: 20 mx2.zoho.com.
vip.vn: 50 mx3.zoho.com.
vip.vn: 10 mx.zoho.com.
labs.vn: 63 route1.mx.cloudflare.net.
labs.vn: 81 route2.mx.cloudflare.net.
labs.vn: 55 route3.mx.cloudflare.net.
club.vn: 10 club.vn.
server.vn: 10 server.vn.
horus.vn: 0 horus-vn.mail.protection.outlook.com.
trio.vn: 10 mail.trio.vn.
london.vn: 86 route1.mx.cloudflare.net.
london.vn: 76 route2.mx.cloudflare.net.
london.vn: 98 route3.mx.cloudflare.net.
cyza.vn: 10 mx1.netim.net.
cyza.vn: 10 mx2.netim.net.
heli.vn: 57 route1.mx.cloudflare.net.
heli.vn: 47 route3.mx.cloudflare.net.
heli.vn: 31 route2.mx.cloudflare.net.
maybe.vn: 1 aspmx.l.google.com.
maybe.vn: 5 alt2.aspmx.l.google.com.
maybe.vn: 10 alt3.aspmx.l.google.com.
maybe.vn: 10 alt4.aspmx.l.google.com.
maybe.vn: 5 alt1.aspmx.l.google.com.
velo.vn: 10 aspmx3.googlemail.com.
velo.vn: 1 aspmx.l.google.com.
velo.vn: 5 alt2.aspmx.l.google.com.
velo.vn: 5 aspmx2.googlemail.com.
velo.vn: 5 alt1.aspmx.l.google.com.
creative.vn: 73 route2.mx.cloudflare.net.
creative.vn: 4 route1.mx.cloudflare.net.
creative.vn: 80 route3.mx.cloudflare.net.
data.vn: 30 aspmx4.googlemail.com.
data.vn: 30 aspmx5.googlemail.com.
data.vn: 10 aspmx.l.google.com.
data.vn: 30 aspmx3.googlemail.com.
data.vn: 30 aspmx2.googlemail.com.
data.vn: 20 alt2.aspmx.l.google.com.
data.vn: 20 alt1.aspmx.l.google.com.
theweb.vn: 20 mx2.titan.email.
theweb.vn: 10 mx1.titan.email.
linkedin.vn: 0 .
paradise.vn: 10 mx1.improvmx.com.
paradise.vn: 20 mx2.improvmx.com.
plus.vn: 30 alt2.aspmx.l.google.com.
plus.vn: 20 alt1.aspmx.l.google.com.
plus.vn: 10 aspmx.l.google.com.
plus.vn: 40 aspmx2.googlemail.com.
plus.vn: 50 aspmx3.googlemail.com.
webmaster.vn: 20 mx2.zoho.com.
webmaster.vn: 10 mx.zoho.com.
webmaster.vn: 50 mx3.zoho.com.
value.vn: 18 route3.mx.cloudflare.net.
value.vn: 68 route2.mx.cloudflare.net.
value.vn: 75 route1.mx.cloudflare.net.
med.vn: 10 mx.zoho.com.
med.vn: 20 mx2.zoho.com.
med.vn: 50 mx3.zoho.com.
base.vn: 30 aspmx4.googlemail.com.
base.vn: 20 alt1.aspmx.l.google.com.
base.vn: 30 aspmx3.googlemail.com.
base.vn: 10 aspmx.l.google.com.
base.vn: 20 alt2.aspmx.l.google.com.
base.vn: 30 aspmx5.googlemail.com.
base.vn: 30 aspmx2.googlemail.com.
fractal.vn: 10 mail.fractal.vn.
nft.vn: 1 aspmx.l.google.com.
nft.vn: 5 alt1.aspmx.l.google.com.
nft.vn: 10 alt3.aspmx.l.google.com.
nft.vn: 10 alt4.aspmx.l.google.com.
nft.vn: 5 alt2.aspmx.l.google.com.
tldr.vn: 47 route3.mx.cloudflare.net.
tldr.vn: 66 route1.mx.cloudflare.net.
tldr.vn: 88 route2.mx.cloudflare.net.
gmail.vn: 20 bec761b4799644459903f7593f3c82.msv1.invalid.
gmail.vn: 10 bec761b4799644459903f7593f3c82.pamx1.hotmail.com.
bright.vn: 20 mx2.zoho.com.
bright.vn: 50 mx3.zoho.com.
bright.vn: 10 mx.zoho.com.
quotes.vn: 90 route3.mx.cloudflare.net.
quotes.vn: 64 route1.mx.cloudflare.net.
quotes.vn: 42 route2.mx.cloudflare.net.
factory.vn: 6400 _dc-mx.47c5c7064651.factory.vn.
key.vn: 1 smtp.google.com.
snow.vn: 67 route2.mx.cloudflare.net.
snow.vn: 19 route1.mx.cloudflare.net.
snow.vn: 29 route3.mx.cloudflare.net.
nova.vn: 0 host.emailserver.vn.
twitch.vn: 45 route3.mx.cloudflare.net.
twitch.vn: 97 route1.mx.cloudflare.net.
twitch.vn: 15 route2.mx.cloudflare.net.
shop.vn: 10 shop.vn.
will.vn: 49 route3.mx.cloudflare.net.
will.vn: 19 route2.mx.cloudflare.net.
will.vn: 8 route1.mx.cloudflare.net.
url.vn: 20 mx2.zoho.com.
url.vn: 50 mx3.zoho.com.
url.vn: 10 mx.zoho.com.
tech.vn: 10 tech.vn.
code.vn: 10 mx.yandex.net.
tom.vn: 10 alt4.aspmx.l.google.com.
tom.vn: 10 alt3.aspmx.l.google.com.
tom.vn: 5 alt2.aspmx.l.google.com.
tom.vn: 1 aspmx.l.google.com.
tom.vn: 5 alt1.aspmx.l.google.com.
asset.vn: 99 route1.mx.cloudflare.net.
asset.vn: 78 route3.mx.cloudflare.net.
asset.vn: 67 route2.mx.cloudflare.net.
oxygen.vn: 10 alt4.aspmx.l.google.com.
oxygen.vn: 10 alt3.aspmx.l.google.com.
oxygen.vn: 5 alt1.aspmx.l.google.com.
oxygen.vn: 5 alt2.aspmx.l.google.com.
oxygen.vn: 1 aspmx.l.google.com.
voice.vn: 94 route2.mx.cloudflare.net.
voice.vn: 26 route3.mx.cloudflare.net.
voice.vn: 50 route1.mx.cloudflare.net.
bot.vn: 5 alt1.aspmx.l.google.com.
bot.vn: 10 alt3.aspmx.l.google.com.
bot.vn: 10 alt4.aspmx.l.google.com.
bot.vn: 1 aspmx.l.google.com.
bot.vn: 5 alt2.aspmx.l.google.com.
beau.vn: 10 mx.zoho.com.
beau.vn: 20 mx2.zoho.com.
festo.vn: 0 .
sub.vn: 1 dangquang.com.vn.
lsd.vn: 0 lsd-vn.mail.protection.outlook.com.
666.vn: 1 aspmx.l.google.com.
666.vn: 5 alt1.aspmx.l.google.com.
666.vn: 10 alt3.aspmx.l.google.com.
666.vn: 5 alt2.aspmx.l.google.com.
666.vn: 10 alt4.aspmx.l.google.com.
axel.vn: 10 mxa.mailgun.org.
axel.vn: 10 mxb.mailgun.org.
goods.vn: 10 mx1.netim.net.
goods.vn: 10 mx2.netim.net.
slash.vn: 0 slash-vn.mail.protection.outlook.com.
nano.vn: 35 route2.mx.cloudflare.net.
nano.vn: 20 route1.mx.cloudflare.net.
nano.vn: 63 route3.mx.cloudflare.net.
credit.vn: 10 mx1.privateemail.com.
credit.vn: 10 mx2.privateemail.com.
chip.vn: 10 alt1.aspmx.l.google.com.
chip.vn: 10 alt2.aspmx.l.google.com.
chip.vn: 0 aspmx.l.google.com.
chip.vn: 20 aspmx4.googlemail.com.
chip.vn: 100 mx2.dnsvr.com.
chip.vn: 20 aspmx2.googlemail.com.
chip.vn: 20 aspmx3.googlemail.com.
chip.vn: 20 aspmx5.googlemail.com.
method.vn: 10 custmx.cscdns.net.
matrix.vn: 70 route1.mx.cloudflare.net.
matrix.vn: 14 route3.mx.cloudflare.net.
matrix.vn: 68 route2.mx.cloudflare.net.
myra.vn: 20 mx3-hosting.jellyfish.systems.
myra.vn: 5 mx1-hosting.jellyfish.systems.
myra.vn: 10 mx2-hosting.jellyfish.systems.
electronic.vn: 31 route1.mx.cloudflare.net.
electronic.vn: 25 route2.mx.cloudflare.net.
electronic.vn: 37 route3.mx.cloudflare.net.
classic.vn: 5 alt1.aspmx.l.google.com.
classic.vn: 5 alt2.aspmx.l.google.com.
classic.vn: 1 aspmx.l.google.com.
classic.vn: 10 alt3.aspmx.l.google.com.
classic.vn: 10 alt4.aspmx.l.google.com.
meme.vn: 61 route1.mx.cloudflare.net.
meme.vn: 85 route3.mx.cloudflare.net.
meme.vn: 55 route2.mx.cloudflare.net.
sneaker.vn: 40 route2.mx.cloudflare.net.
sneaker.vn: 43 route1.mx.cloudflare.net.
sneaker.vn: 16 route3.mx.cloudflare.net.
next.vn: 10 custmx.cscdns.net.
edelman.vn: 1 bh.markmonitor.com.
sunrise.vn: 10 aspmx.l.google.com.
sunrise.vn: 30 aspmx4.googlemail.com.
sunrise.vn: 30 aspmx3.googlemail.com.
sunrise.vn: 30 aspmx5.googlemail.com.
sunrise.vn: 20 alt2.aspmx.l.google.com.
sunrise.vn: 30 aspmx2.googlemail.com.
sunrise.vn: 20 alt1.aspmx.l.google.com.
koc.vn: 5 alt1.aspmx.l.google.com.
koc.vn: 10 alt3.aspmx.l.google.com.
koc.vn: 10 alt4.aspmx.l.google.com.
koc.vn: 1 aspmx.l.google.com.
koc.vn: 5 alt2.aspmx.l.google.com.
exp.vn: 7 route3.mx.cloudflare.net.
exp.vn: 48 route1.mx.cloudflare.net.
exp.vn: 32 route2.mx.cloudflare.net.
juno.vn: 0 ASPMX2.GOOGLEMAIL.COM.
juno.vn: 0 ALT2.ASPMX.L.GOOGLE.COM.
juno.vn: 0 ALT1.ASPMX.L.GOOGLE.COM.
juno.vn: 0 ASPMX.L.GOOGLE.COM.
juno.vn: 0 ASPMX3.GOOGLEMAIL.COM.
mybox.vn: 87 route2.mx.cloudflare.net.
mybox.vn: 58 route3.mx.cloudflare.net.
mybox.vn: 44 route1.mx.cloudflare.net.
cpa.vn: 10 mx.yandex.net.
exo.vn: 49 route1.mx.cloudflare.net.
exo.vn: 94 route2.mx.cloudflare.net.
exo.vn: 10 route3.mx.cloudflare.net.
derma.vn: 87 route1.mx.cloudflare.net.
derma.vn: 69 route2.mx.cloudflare.net.
derma.vn: 24 route3.mx.cloudflare.net.
cocacola.vn: 10 ns3-old.ko.com.
wolf.vn: 92 route2.mx.cloudflare.net.
wolf.vn: 9 route3.mx.cloudflare.net.
wolf.vn: 97 route1.mx.cloudflare.net.
nocode.vn: 48 route3.mx.cloudflare.net.
nocode.vn: 19 route2.mx.cloudflare.net.
nocode.vn: 78 route1.mx.cloudflare.net.
escort.vn: 1 alltheemails.com.
manager.vn: 52 route1.mx.cloudflare.net.
manager.vn: 77 route3.mx.cloudflare.net.
manager.vn: 8 route2.mx.cloudflare.net.
custom.vn: 1 webmail.custom.vn.
whitehat.vn: 10 mail.whitehat.vn.
digital-marketing.vn: 5 route3.mx.cloudflare.net.
digital-marketing.vn: 18 route2.mx.cloudflare.net.
digital-marketing.vn: 7 route1.mx.cloudflare.net.
back.vn: 81 route2.mx.cloudflare.net.
back.vn: 51 route3.mx.cloudflare.net.
back.vn: 11 route1.mx.cloudflare.net.
aps.vn: 10 kusamailer.tenten.cloud.
steve.vn: 10 steve.vn.
investing.vn: 60 route3.mx.cloudflare.net.
investing.vn: 22 route1.mx.cloudflare.net.
investing.vn: 67 route2.mx.cloudflare.net.
flutter.vn: 64 route2.mx.cloudflare.net.
flutter.vn: 75 route3.mx.cloudflare.net.
flutter.vn: 24 route1.mx.cloudflare.net.
ops.vn: 21 route3.mx.cloudflare.net.
ops.vn: 63 route2.mx.cloudflare.net.
ops.vn: 17 route1.mx.cloudflare.net.
umbrella.vn: 71 route2.mx.cloudflare.net.
umbrella.vn: 63 route3.mx.cloudflare.net.
umbrella.vn: 25 route1.mx.cloudflare.net.
trip.vn: 10 alt3.aspmx.l.google.com.
trip.vn: 10 alt4.aspmx.l.google.com.
trip.vn: 1 aspmx.l.google.com.
trip.vn: 5 alt2.aspmx.l.google.com.
trip.vn: 5 alt1.aspmx.l.google.com.
hexagon.vn: 1 ASPMX.L.GOOGLE.COM.
hexagon.vn: 5 ALT1.ASPMX.L.GOOGLE.COM.
hexagon.vn: 10 ASPMX3.GOOGLEMAIL.COM.
hexagon.vn: 5 ALT2.ASPMX.L.GOOGLE.COM.
hexagon.vn: 10 ASPMX2.GOOGLEMAIL.COM.
creator.vn: 10 aspmx2.googlemail.com.
creator.vn: 10 aspmx3.googlemail.com.
creator.vn: 5 alt2.aspmx.l.google.com.
creator.vn: 1 aspmx.l.google.com.
creator.vn: 5 alt1.aspmx.l.google.com.
photo.vn: 5 alt1.aspmx.l.google.com.
photo.vn: 10 aspmx2.googlemail.com.
photo.vn: 10 aspmx5.googlemail.com.
photo.vn: 10 aspmx4.googlemail.com.
photo.vn: 1 aspmx.l.google.com.
photo.vn: 5 alt2.aspmx.l.google.com.
photo.vn: 10 aspmx3.googlemail.com.
echo.vn: 1 aspmx.l.google.com.
echo.vn: 10 aspmx2.googlemail.com.
echo.vn: 5 alt2.aspmx.l.google.com.
echo.vn: 10 aspmx3.googlemail.com.
echo.vn: 5 alt1.aspmx.l.google.com.
clip.vn: 10 aspmx.l.google.com.
clip.vn: 40 aspmx5.googlemail.com.
clip.vn: 20 alt2.aspmx.l.google.com.
clip.vn: 20 alt1.aspmx.l.google.com.
clip.vn: 30 aspmx3.googlemail.com.
clip.vn: 60 mxa.mailgun.org.
clip.vn: 40 aspmx4.googlemail.com.
clip.vn: 30 aspmx2.googlemail.com.
clip.vn: 60 mxb.mailgun.org.
tumblr.vn: 0 .
eternal.vn: 90 route1.mx.cloudflare.net.
eternal.vn: 77 route2.mx.cloudflare.net.
eternal.vn: 61 route3.mx.cloudflare.net.
android.vn: 1 mx.android.vn.
bayer.vn: 10 custmx.cscdns.net.
grow.vn: 10 alt4.aspmx.l.google.com.
grow.vn: 5 alt2.aspmx.l.google.com.
grow.vn: 5 alt1.aspmx.l.google.com.
grow.vn: 10 alt3.aspmx.l.google.com.
grow.vn: 1 aspmx.l.google.com.
wiki.vn: 100 route1.mx.cloudflare.net.
wiki.vn: 36 route2.mx.cloudflare.net.
wiki.vn: 79 route3.mx.cloudflare.net.
jack.vn: 72 route1.mx.cloudflare.net.
jack.vn: 65 route2.mx.cloudflare.net.
jack.vn: 47 route3.mx.cloudflare.net.
sky88.vn: 10 mail.sky88.vn.
reality.vn: 64 route3.mx.cloudflare.net.
reality.vn: 39 route1.mx.cloudflare.net.
reality.vn: 2 route2.mx.cloudflare.net.
our.vn: 1 aspmx.l.google.com.
our.vn: 10 alt4.aspmx.l.google.com.
our.vn: 10 alt3.aspmx.l.google.com.
our.vn: 5 alt2.aspmx.l.google.com.
our.vn: 5 alt1.aspmx.l.google.com.
ladybug.vn: 10 mail.cockreative.com.
transfermarkt.vn: 10 mail02.transfermarkt.de.
transfermarkt.vn: 20 mail01.transfermarkt.de.
prestige.vn: 1 aspmx.l.google.com.
prestige.vn: 10 alt3.aspmx.l.google.com.
prestige.vn: 10 alt4.aspmx.l.google.com.
prestige.vn: 5 alt1.aspmx.l.google.com.
prestige.vn: 5 alt2.aspmx.l.google.com.
lux.vn: 200 maildr.unilever.com.
lux.vn: 100 mail.unilever.com.
universe.vn: 88 route3.mx.cloudflare.net.
universe.vn: 28 route1.mx.cloudflare.net.
universe.vn: 21 route2.mx.cloudflare.net.
101.vn: 14 route3.mx.cloudflare.net.
101.vn: 64 route1.mx.cloudflare.net.
101.vn: 37 route2.mx.cloudflare.net.
flix.vn: 5 alt1.aspmx.l.google.com.
flix.vn: 1 aspmx.l.google.com.
flix.vn: 5 alt2.aspmx.l.google.com.
flix.vn: 10 aspmx3.googlemail.com.
flix.vn: 10 aspmx2.googlemail.com.
create.vn: 24 route3.mx.cloudflare.net.
create.vn: 8 route2.mx.cloudflare.net.
create.vn: 55 route1.mx.cloudflare.net.
allure.vn: 10 custmx.cscdns.net.
allure.vn: 0 null.allure.vn.
roots.vn: 5 alt2.aspmx.l.google.com.
roots.vn: 10 alt4.aspmx.l.google.com.
roots.vn: 5 alt1.aspmx.l.google.com.
roots.vn: 1 aspmx.l.google.com.
roots.vn: 10 alt3.aspmx.l.google.com.
may88.vn: 10 mail.may88.vn.
endeavor.vn: 10 mail.endeavor.vn.
deep.vn: 83 route2.mx.cloudflare.net.
deep.vn: 99 route3.mx.cloudflare.net.
deep.vn: 25 route1.mx.cloudflare.net.
long.vn: 10 aspmx2.googlemail.com.
long.vn: 5 alt1.aspmx.l.google.com.
long.vn: 1 aspmx.l.google.com.
long.vn: 5 alt2.aspmx.l.google.com.
long.vn: 10 aspmx3.googlemail.com.
skincare.vn: 26 route3.mx.cloudflare.net.
skincare.vn: 10 route1.mx.cloudflare.net.
skincare.vn: 36 route2.mx.cloudflare.net.
your.vn: 62 route2.mx.cloudflare.net.
your.vn: 24 route1.mx.cloudflare.net.
your.vn: 79 route3.mx.cloudflare.net.
8live.vn: 10 mail.8live.vn.
giga.vn: 1 a.mx.hostvn.email.
giga.vn: 5 b.mx.hostvn.email.
koko.vn: 10 mx2.hostinger.com.
koko.vn: 5 mx1.hostinger.com.
lms.vn: 10 alt4.aspmx.l.google.com.
lms.vn: 1 aspmx.l.google.com.
lms.vn: 10 alt3.aspmx.l.google.com.
lms.vn: 5 alt1.aspmx.l.google.com.
lms.vn: 5 alt2.aspmx.l.google.com.
mca.vn: 10 mx02.mail.icloud.com.
mca.vn: 10 mx01.mail.icloud.com.
more.vn: 10 mcloud.vn.
peak.vn: 10 sg2.fcomet.com.
ara.vn: 20 alt2.aspmx.l.google.com.
ara.vn: 30 aspmx2.googlemail.com.
ara.vn: 30 aspmx3.googlemail.com.
ara.vn: 10 aspmx.l.google.com.
ara.vn: 20 alt1.aspmx.l.google.com.
digi.vn: 5 alt2.aspmx.l.google.com.
digi.vn: 10 alt3.aspmx.l.google.com.
digi.vn: 1 aspmx.l.google.com.
digi.vn: 10 alt4.aspmx.l.google.com.
digi.vn: 5 alt1.aspmx.l.google.com.
design.vn: 10 mx.inet.vn.
aesthetic.vn: 10 mail.aesthetic.vn.
haru.vn: 10 mail.haru.vn.
grace.vn: 10 ALT4.ASPMX.L.GOOGLE.COM.
grace.vn: 1 ASPMX.L.GOOGLE.COM.
grace.vn: 10 ALT3.ASPMX.L.GOOGLE.COM.
grace.vn: 5 ALT2.ASPMX.L.GOOGLE.COM.
grace.vn: 5 ALT1.ASPMX.L.GOOGLE.COM.
growth.vn: 1 mx1.larksuite.com.
growth.vn: 10 mx3.larksuite.com.
growth.vn: 5 mx2.larksuite.com.
cosmos.vn: 10 ALT4.ASPMX.L.GOOGLE.COM.
cosmos.vn: 10 ALT3.ASPMX.L.GOOGLE.COM.
cosmos.vn: 1 ASPMX.L.GOOGLE.COM.
cosmos.vn: 5 ALT1.ASPMX.L.GOOGLE.COM.
cosmos.vn: 5 ALT2.ASPMX.L.GOOGLE.COM.
pinup.vn: 10 pinup.vn.
1234.vn: 0 mail.1234.vn.
aiagent.vn: 10 aiagent.vn.
asa.vn: 10 mail.asa.vn.
ima.vn: 30 aspmx5.googlemail.com.
ima.vn: 20 alt1.aspmx.l.google.com.
ima.vn: 30 aspmx4.googlemail.com.
ima.vn: 30 aspmx3.googlemail.com.
ima.vn: 10 aspmx.l.google.com.
ima.vn: 20 alt2.aspmx.l.google.com.
ima.vn: 30 aspmx2.googlemail.com.
abm.vn: 5 alt2.aspmx.l.google.com.
abm.vn: 1 aspmx.l.google.com.
abm.vn: 10 alt3.aspmx.l.google.com.
abm.vn: 10 alt4.aspmx.l.google.com.
abm.vn: 5 alt1.aspmx.l.google.com.
berry.vn: 5 alt2.aspmx.l.google.com.
berry.vn: 10 aspmx2.googlemail.com.
berry.vn: 10 aspmx3.googlemail.com.
berry.vn: 1 aspmx.l.google.com.
berry.vn: 5 alt1.aspmx.l.google.com.
inno.vn: 0 mail.inno.vn.
nia.vn: 10 mail.nia.vn.
jeff.vn: 5 alt1.aspmx.l.google.com.
jeff.vn: 10 alt3.aspmx.l.google.com.
jeff.vn: 1 aspmx.l.google.com.
jeff.vn: 10 alt4.aspmx.l.google.com.
jeff.vn: 5 alt2.aspmx.l.google.com.
deepai.vn: 0 localhost.
eric.vn: 10 mcloud.vn.
auto.vn: 0 auto-vn.mail.protection.outlook.com.
found.vn: 81 route2.mx.cloudflare.net.
found.vn: 23 route3.mx.cloudflare.net.
found.vn: 73 route1.mx.cloudflare.net.
arrow.vn: 0 .
smarter.vn: 50 mx3.zoho.com.
smarter.vn: 20 mx2.zoho.com.
smarter.vn: 10 mx.zoho.com.
source.vn: 50 route2.mx.cloudflare.net.
source.vn: 36 route1.mx.cloudflare.net.
source.vn: 10 route3.mx.cloudflare.net.
thing.vn: 20 mx2.zoho.com.
thing.vn: 50 mx3.zoho.com.
thing.vn: 10 mx.zoho.com.
arc.vn: 15 ASPMX.L.GOOGLE.COM.
arc.vn: 10 ALT3.ASPMX.L.GOOGLE.COM.
arc.vn: 10 ALT4.ASPMX.L.GOOGLE.COM.
arc.vn: 5 ALT1.ASPMX.L.GOOGLE.COM.
arc.vn: 5 ALT2.ASPMX.L.GOOGLE.COM.
arc.vn: 1 SMTP.GOOGLE.COM.
arc.vn: 15 VYSYLVBZCT66M4UNSOY7IUEFPP3XO5AL3KJFZLLW7CL4XG32FO3A.MX-VERIFICATION.GOOGLE.COM.
sync.vn: 20 mx2.zoho.com.
sync.vn: 10 mx.zoho.com.
sync.vn: 30 mx3.zoho.com.
sonic.vn: 5 alt1.aspmx.l.google.com.
sonic.vn: 10 aspmx2.googlemail.com.
sonic.vn: 5 alt2.aspmx.l.google.com.
sonic.vn: 1 aspmx.l.google.com.
sonic.vn: 10 aspmx3.googlemail.com.
nerd.vn: 30 alt2.aspmx.l.google.com.
nerd.vn: 10 aspmx.l.google.com.
nerd.vn: 50 alt4.aspmx.l.google.com.
nerd.vn: 20 alt1.aspmx.l.google.com.
nerd.vn: 40 alt3.aspmx.l.google.com.
intelligence.vn: 99 route1.mx.cloudflare.net.
intelligence.vn: 71 route2.mx.cloudflare.net.
intelligence.vn: 45 route3.mx.cloudflare.net.
chatgpt.vn: 50 mail.chatgpt.vn.
care.vn: 1 ASPMX.L.GOOGLE.COM.
care.vn: 10 ALT3.ASPMX.L.GOOGLE.COM.
care.vn: 10 ALT4.ASPMX.L.GOOGLE.COM.
care.vn: 5 ALT1.ASPMX.L.GOOGLE.COM.
care.vn: 5 ALT2.ASPMX.L.GOOGLE.COM.
standards.vn: 10 alt4.aspmx.l.google.com.
standards.vn: 1 aspmx.l.google.com.
standards.vn: 5 alt2.aspmx.l.google.com.
standards.vn: 5 alt1.aspmx.l.google.com.
standards.vn: 10 alt3.aspmx.l.google.com.
conversion.vn: 1 aspmx.l.google.com.
conversion.vn: 10 alt3.aspmx.l.google.com.
conversion.vn: 5 alt2.aspmx.l.google.com.
conversion.vn: 5 alt1.aspmx.l.google.com.
conversion.vn: 10 alt4.aspmx.l.google.com.
scout.vn: 10 mx01.mail.icloud.com.
scout.vn: 10 mx02.mail.icloud.com.
devops.vn: 10 mx2.hostinger.com.
devops.vn: 5 mx1.hostinger.com.
bme.vn: 5 alt2.aspmx.l.google.com.
bme.vn: 5 alt1.aspmx.l.google.com.
bme.vn: 1 aspmx.l.google.com.
bme.vn: 10 alt4.aspmx.l.google.com.
